ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1304064,Pune,4/9/2022,2022,18,كريم ألتراسكرين حاجب شفاف للشمس عامل الوقاية 50 (1+1 مجاناً),Sun Care,Sun Care,25.35211268,2,50.70422535,0,0,,0,50.70422535,0,Jordan,Amman,Amman
1304062,Mumbai,4/8/2022,2022,16,كريم مفتّح للبشرة ومقلّص,Skin Whitening,Bundles & Offers,5.636363636,1,16.03636364,0,0,,0,16.03636364,0,Lebanon,Aley,aley
1304061,Mumbai,4/7/2022,2022,15,Keratin Shampoo,Hair Care,Hair Care,2.013422819,2,12.48322148,0,0,,1.006711409,13.48993289,0,Lebanon,Matn,Roumieh
1304060,Pune,4/6/2022,2022,14,Deo Whitening - Cotton Candy,"Skin Whitening, Deodorants, Women",Body Care,15.73569482,1,117.5885559,4.722070845,35.27792916,BEE30,0,82.3106267,0,United Arab Emirates,Dubai,Dubai Investment park First
1304059,Mumbai,4/5/2022,2022,13,Busy Bee Tote Bag,Beesline Gift,Beesline Gift,0.800582242,1,28.81368268,0,0,,0,28.81368268,0,Lebanon,Matn,Dekwaneh
1304058,Mumbai,4/4/2022,2022,12,Facial Super Moisture Mask,Masks,Face Care,0.796332046,1,11.41409266,0,0,,0,11.41409266,0,Lebanon,Tripoli,Tripoli
1304057,Mumbai,4/3/2022,2022,11,Cleansing Oat Milk,Face Care,Face Care,1.846153846,1,12.52747253,0,0,,1.318681319,13.84615385,0,Lebanon,Aley,Bchamoun
1304056,Pune,4/2/2022,2022,10,After Sun Cooling Lotion,Sun Care,Sun Care,4.416961131,1,12.04946996,0,0,,0,12.04946996,0,Lebanon,Aley,Houmale
1304055,Mumbai,4/2/2022,2022,9,Mother's Day Bundle,Face Radiance,Face Care,17.4128234,1,13.94825647,0,0,,1.349831271,15.29808774,0,Lebanon,Matn,Roumieh
1304054,Mumbai,4/1/2022,2022,8,Whitening Intimate Zone Kit ,Skin Whitening,Bundles & Offers,59.79564033,1,66.66212534,0,0,,0,66.66212534,0,United Arab Emirates,Sharjah,Sharjah
1304053,Mumbai,3/31/2022,2022,7,Whitening Roll-On Deodorant - Elder Rose,"Skin Whitening, Deodorants, Women",Body Care,7.797833935,1,61.6967509,0,0,,0,61.6967509,0,Lebanon,Tripoli,Qalamoun
1304052,Mumbai,3/30/2022,2022,6,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,3,NA,PWH de Silva,"['AM Rahane', 'VR Iyer', 'SS Iyer', 'N Rana', 'SP Narine', 'SW Billings', 'SP Jackson', 'AD Russell', 'TG Southee', 'UT Yadav', 'CV Varun']","['F du Plessis', 'Anuj Rawat', 'V Kohli', 'DJ Willey', 'SE Rutherford', 'Shahbaz Ahmed', 'KD Karthik', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'Akash Deep']",J Madanagopal,Navdeep Singh
1304051,Pune,3/29/2022,2022,5,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,N,Rajasthan Royals,Runs,61,NA,SV Samson,"['JC Buttler', 'YBK Jaiswal', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'NM Coulter-Nile', 'R Ashwin', 'YS Chahal', 'TA Boult', 'M Prasidh Krishna']","['KS Williamson', 'Abhishek Sharma', 'RA Tripathi', 'N Pooran', 'AK Markram', 'Abdul Samad', 'R Shepherd', 'Washington Sundar', 'B Kumar', 'Umran Malik', 'T Natarajan']",BNJ Oxenford,UV Gandhe
1304050,Mumbai,3/28/2022,2022,4,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,5,NA,Mohammed Shami,"['KL Rahul', 'Q de Kock', 'E Lewis', 'MK Pandey', 'DJ Hooda', 'A Badoni', 'KH Pandya', 'PVD Chameera', 'Mohsin Khan', 'Ravi Bishnoi', 'Avesh Khan']","['Shubman Gill', 'MS Wade', 'V Shankar', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'LH Ferguson', 'Mohammed Shami', 'VR Aaron']",PG Pathak,VK Sharma
1304049,Mumbai,3/27/2022,2022,3,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Punjab Kings,Wickets,5,NA,OF Smith,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'KD Karthik', 'SE Rutherford', 'DJ Willey', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'Akash Deep']","['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'RA Bawa', 'M Shahrukh Khan', 'OF Smith', 'Harpreet Brar', 'Arshdeep Singh', 'Sandeep Sharma', 'RD Chahar']",Nitin Menon,YC Barde
1304048,Mumbai,3/27/2022,2022,2,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,4,NA,Kuldeep Yadav,"['RG Sharma', 'Ishan Kishan', 'Anmolpreet Singh', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'M Ashwin', 'TS Mills', 'JJ Bumrah', 'Basil Thampi']","['PP Shaw', 'TL Seifert', 'Mandeep Singh', 'RR Pant', 'Lalit Yadav', 'R Powell', 'SN Thakur', 'AR Patel', 'Kuldeep Yadav', 'KK Ahmed', 'KL Nagarkoti']",RJ Tucker,HAS Khalid
1304047,Mumbai,3/26/2022,2022,1,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,"['RD Gaikwad', 'DP Conway', 'RV Uthappa', 'AT Rayudu', 'RA Jadeja', 'S Dube', 'MS Dhoni', 'DJ Bravo', 'MJ Santner', 'AF Milne', 'TU Deshpande']","['AM Rahane', 'VR Iyer', 'N Rana', 'SS Iyer', 'SW Billings', 'SP Jackson', 'AD Russell', 'SP Narine', 'UT Yadav', 'Shivam Mavi', 'CV Varun']",AK Chaudhary,Nitin Menon
